employee_id,name,age,gender,country,city,department,experience_years,salary_usd,bonus_usd,work_hours_per_week,remote_work,performance_score,joining_year,seniority_level,job_title_designer,job_title_developer,job_title_manager,education_high school,education_master,education_phd,contract_type_full-time,contract_type_part-time
44,employee_44,39,female,india,toronto,it,15,133435,1581,48,yes,2,2022,senior,0,0,0,0,0,1,1,0
45,employee_45,47,female,pakistan,ny,marketing,0,60562,15330,50,yes,3,2008,junior,0,0,1,0,1,0,1,0
46,employee_46,26,male,usa,ny,hr,11,58036,11131,33,yes,4,2014,senior,0,1,0,0,0,1,0,1
47,employee_47,27,male,india,toronto,finance,23,90752,1132,44,no,6,2001,senior,1,0,0,1,0,0,1,0
48,employee_48,54,male,canada,london,hr,1,104233,15984,46,yes,6,2010,junior,0,0,1,0,0,1,0,1
49,employee_49,33,male,usa,la,it,20,113049,4385,41,no,7,2010,senior,1,0,0,0,0,1,0,0
50,employee_50,36,female,usa,ny,marketing,24,138575,4770,32,no,5,2007,senior,0,0,0,1,0,0,0,1
51,employee_51,55,male,canada,la,hr,7,98681,3268,39,yes,7,2022,mid,0,0,0,0,0,0,0,0
52,employee_52,59,female,usa,karachi,it,17,57818,1975,44,no,2,2005,senior,0,1,0,0,0,0,0,1
53,employee_53,23,female,india,karachi,finance,24,60544,8605,39,yes,1,2020,senior,0,0,0,1,0,0,0,0
54,employee_54,21,male,pakistan,toronto,finance,15,92532,8213,53,no,8,2019,senior,0,0,1,0,0,1,1,0
55,employee_55,25,female,usa,karachi,finance,4,108636,12455,52,yes,1,2006,mid,0,0,0,1,0,0,0,1
56,employee_56,23,female,india,karachi,it,25,87705,3835,47,no,2,2002,senior,0,1,0,0,0,0,0,1
57,employee_57,48,female,uk,london,marketing,29,50104,3738,30,no,6,2007,senior,1,0,0,0,1,0,0,0
58,employee_58,37,female,india,london,hr,21,99603,10549,32,yes,1,2017,senior,1,0,0,0,0,1,0,0
59,employee_59,45,male,pakistan,london,finance,12,132499,5134,50,yes,3,2016,senior,0,0,0,0,0,0,0,1
60,employee_60,53,male,india,karachi,it,18,89025,7833,55,yes,7,2010,senior,0,0,1,0,0,1,0,0
61,employee_61,29,female,canada,toronto,it,28,126264,9353,56,yes,8,2001,senior,0,1,0,1,0,0,1,0
62,employee_62,55,male,pakistan,delhi,hr,2,62317,16690,41,no,4,2024,junior,0,0,1,0,1,0,0,1
63,employee_63,33,male,uk,delhi,finance,25,61416,2909,30,no,3,2020,senior,0,1,0,1,0,0,1,0
64,employee_64,50,male,canada,la,it,7,72012,15496,32,no,1,2023,mid,0,0,0,0,1,0,0,1
65,employee_65,34,male,india,delhi,hr,26,135585,13062,32,no,9,2018,senior,0,1,0,0,0,1,1,0
66,employee_66,27,male,pakistan,delhi,marketing,25,98045,10850,34,yes,6,2006,senior,0,1,0,0,0,1,0,1
67,employee_67,33,female,uk,london,marketing,25,51400,2963,48,no,6,2017,senior,0,0,0,1,0,0,0,0
68,employee_68,42,male,canada,london,marketing,11,78270,6153,58,yes,9,2007,senior,0,0,1,0,1,0,0,1
69,employee_69,59,male,uk,karachi,finance,1,102069,11481,54,no,1,2013,junior,0,0,0,0,1,0,1,0
70,employee_70,40,male,india,la,hr,10,149415,1966,30,yes,6,2006,senior,0,1,0,0,0,1,0,1
71,employee_71,35,male,uk,ny,hr,11,79833,1889,33,yes,5,2020,senior,0,0,0,1,0,0,1,0
72,employee_72,37,female,usa,la,it,27,93644,7461,58,yes,6,2003,senior,0,1,0,0,1,0,1,0
73,employee_73,43,female,canada,la,it,17,110206,7166,58,yes,8,2016,senior,0,0,0,0,0,1,1,0
74,employee_74,45,female,uk,toronto,it,12,99468,17006,55,yes,5,2004,senior,1,0,0,0,0,0,0,0
75,employee_75,44,female,india,karachi,hr,4,142899,12381,55,no,2,2011,mid,1,0,0,1,0,0,0,1
76,employee_76,48,male,india,toronto,it,21,89473,17344,33,yes,2,2008,senior,0,0,0,0,0,0,1,0
77,employee_77,34,female,uk,la,hr,11,75809,11940,46,no,5,2019,senior,0,0,1,1,0,0,0,0
78,employee_78,20,male,india,la,hr,1,68328,12258,43,no,3,2012,junior,0,1,0,0,0,1,1,0
79,employee_79,44,male,pakistan,la,marketing,4,66784,8280,47,yes,3,2024,mid,1,0,0,0,1,0,0,1
80,employee_80,26,male,pakistan,delhi,it,6,53723,2067,56,no,8,2017,mid,0,0,1,0,1,0,0,0
81,employee_81,28,male,pakistan,toronto,marketing,25,90646,12115,30,no,7,2019,senior,0,1,0,0,1,0,1,0
82,employee_82,43,male,usa,la,finance,25,96255,10018,51,no,1,2008,senior,1,0,0,1,0,0,1,0
83,employee_83,20,female,uk,london,finance,23,30074,16753,45,yes,5,2003,senior,1,0,0,0,0,1,1,0
84,employee_84,27,female,usa,karachi,finance,11,56498,15178,32,yes,9,2020,senior,0,0,0,0,0,0,0,1
85,employee_85,43,female,india,karachi,hr,15,95522,16187,52,yes,4,2007,senior,0,1,0,0,0,1,0,0
86,employee_86,30,female,usa,london,hr,22,126881,5607,50,yes,1,2000,senior,0,0,1,0,0,0,0,0
87,employee_87,36,male,india,karachi,hr,7,50541,4985,38,no,8,2016,mid,0,0,1,1,0,0,0,0
88,employee_88,27,female,india,delhi,it,29,75929,11284,52,no,5,2024,senior,0,0,1,1,0,0,1,0
89,employee_89,54,male,canada,delhi,marketing,27,130453,15554,33,no,2,2008,senior,0,1,0,0,0,0,0,0
90,employee_90,54,female,pakistan,ny,hr,8,56028,5538,50,no,1,2019,senior,0,0,1,0,0,0,1,0
91,employee_91,52,male,india,ny,marketing,14,59545,19746,34,no,3,2012,senior,0,0,1,0,0,0,0,1
92,employee_92,24,male,canada,ny,marketing,4,109569,19608,40,no,9,2001,mid,0,0,1,0,0,1,0,0
93,employee_93,58,female,pakistan,karachi,marketing,12,61673,7371,50,yes,1,2012,senior,0,0,0,0,0,0,1,0
94,employee_94,47,male,india,delhi,it,4,60974,2726,55,no,4,2008,mid,0,0,0,1,0,0,0,0
95,employee_95,26,male,india,delhi,it,10,88899,6791,38,no,8,2019,senior,0,1,0,1,0,0,0,0
96,employee_96,28,female,usa,delhi,finance,9,53097,9458,55,no,8,2005,senior,0,1,0,0,1,0,0,1
97,employee_97,27,male,usa,london,finance,19,132511,18221,32,yes,8,2000,senior,0,0,1,0,0,0,0,0
98,employee_98,31,female,pakistan,delhi,marketing,12,123144,16738,35,no,8,2024,senior,0,0,0,0,0,1,0,1
99,employee_99,53,female,india,london,finance,8,94824,18070,53,no,4,2004,senior,1,0,0,0,0,1,0,0
100,employee_100,52,female,uk,ny,marketing,20,53525,17740,40,yes,8,2002,senior,1,0,0,0,0,1,0,0
101,employee_101,42,male,usa,ny,it,13,87804,10063,38,no,9,2003,senior,0,0,1,0,1,0,0,0
102,employee_102,43,male,pakistan,karachi,it,17,45043,11165,58,yes,7,2000,senior,0,0,1,1,0,0,0,0
103,employee_103,56,male,india,ny,it,14,71846,15539,44,yes,2,2013,senior,0,0,0,0,0,1,0,0
104,employee_104,54,female,india,karachi,hr,9,107261,16572,52,no,9,2008,senior,0,0,0,1,0,0,0,0
105,employee_105,59,male,uk,la,marketing,23,132240,5647,57,no,8,2023,senior,0,0,0,0,1,0,0,1
106,employee_106,41,female,pakistan,la,it,6,137611,11002,32,yes,5,2003,mid,0,1,0,0,0,0,0,1
107,employee_107,46,female,india,toronto,marketing,7,80227,11833,30,no,3,2017,mid,0,1,0,0,0,0,1,0
108,employee_108,54,male,usa,karachi,finance,27,83028,11420,49,no,7,2013,senior,0,0,1,0,0,0,0,0
109,employee_109,20,female,uk,toronto,finance,2,67383,7642,58,yes,2,2024,junior,0,1,0,0,0,1,0,1
110,employee_110,54,male,pakistan,toronto,it,14,59483,11542,51,yes,3,2003,senior,0,0,0,0,0,0,0,0
111,employee_111,56,male,uk,la,marketing,15,37265,5357,48,no,9,2024,senior,0,0,0,0,0,1,0,0
112,employee_112,33,male,usa,karachi,it,3,52763,16599,43,yes,4,2009,mid,0,1,0,0,1,0,0,1
113,employee_113,22,male,pakistan,la,finance,20,105652,14201,46,no,4,2002,senior,1,0,0,0,1,0,0,0
114,employee_114,20,male,uk,toronto,it,5,45733,3739,51,no,3,2022,mid,0,0,1,0,0,1,0,1
115,employee_115,24,female,canada,karachi,marketing,0,142196,14231,43,no,5,2006,junior,1,0,0,1,0,0,0,1
116,employee_116,45,female,usa,toronto,finance,3,121038,10510,46,no,3,2009,mid,0,0,1,0,0,0,1,0
117,employee_117,33,female,usa,delhi,hr,10,67420,10727,54,yes,9,2012,senior,1,0,0,0,0,0,1,0
118,employee_118,58,male,usa,karachi,finance,11,138777,11635,56,no,3,2003,senior,0,1,0,0,0,0,1,0
119,employee_119,46,male,canada,karachi,hr,25,39247,10964,43,yes,2,2017,senior,0,0,1,0,0,1,1,0
120,employee_120,28,male,canada,toronto,it,28,53840,18261,41,no,5,2010,senior,0,0,1,0,1,0,0,0
121,employee_121,34,female,india,delhi,it,4,95149,12392,45,no,6,2024,mid,0,0,1,0,0,0,0,0
122,employee_122,34,male,uk,london,marketing,22,51058,13336,30,yes,1,2003,senior,0,0,0,0,1,0,1,0
123,employee_123,45,female,india,la,hr,28,145229,12939,42,no,6,2023,senior,0,0,0,0,0,0,0,1
124,employee_124,32,female,uk,toronto,it,20,64929,17676,35,yes,3,2013,senior,1,0,0,0,0,0,0,1
125,employee_125,51,male,canada,karachi,hr,15,114171,10843,46,yes,4,2017,senior,0,1,0,0,0,1,0,1
126,employee_126,58,male,canada,la,it,12,121164,13823,41,no,6,2007,senior,0,0,0,1,0,0,0,1
127,employee_127,51,female,india,la,finance,12,61362,3686,52,no,8,2009,senior,0,0,1,0,0,1,0,0
128,employee_128,23,male,pakistan,la,it,16,116489,1233,48,no,9,2004,senior,0,0,0,0,0,0,0,1
129,employee_129,49,female,india,london,marketing,26,114664,15429,35,no,6,2022,senior,0,1,0,0,0,0,0,1
130,employee_130,56,male,uk,ny,finance,6,77356,19758,36,yes,7,2006,mid,0,0,0,1,0,0,1,0
131,employee_131,42,male,india,toronto,marketing,7,107597,3272,30,no,5,2011,mid,0,0,1,0,1,0,0,1
132,employee_132,58,female,usa,ny,finance,12,36041,18350,30,no,9,2024,senior,1,0,0,0,1,0,0,0
133,employee_133,34,male,uk,ny,hr,22,108209,18273,58,no,4,2002,senior,0,0,1,0,0,0,0,1
134,employee_134,48,female,uk,ny,marketing,26,91954,4400,34,no,6,2003,senior,0,1,0,0,1,0,0,1
135,employee_135,55,male,pakistan,la,it,15,91869,16371,35,no,5,2009,senior,1,0,0,0,0,0,0,0
136,employee_136,32,female,canada,delhi,hr,29,51059,5542,45,yes,1,2003,senior,0,0,0,1,0,0,1,0
137,employee_137,51,female,uk,la,it,28,129864,4523,54,no,5,2014,senior,0,0,0,1,0,0,0,0
138,employee_138,26,male,canada,la,finance,3,74722,19147,45,yes,5,2009,mid,0,0,0,0,0,0,1,0
139,employee_139,41,female,india,karachi,finance,7,47548,4291,43,no,9,2020,mid,1,0,0,1,0,0,0,1
140,employee_140,47,male,usa,karachi,it,15,45078,3488,30,no,1,2021,senior,0,0,1,0,0,1,1,0
141,employee_141,21,male,pakistan,ny,it,20,35419,11892,42,no,5,2015,senior,1,0,0,0,0,1,1,0
142,employee_142,25,male,canada,la,hr,9,65490,2558,49,yes,7,2014,senior,1,0,0,1,0,0,1,0
143,employee_143,47,female,uk,ny,it,24,106086,5690,39,no,6,2018,senior,0,1,0,0,0,0,0,1
144,employee_144,47,female,canada,karachi,marketing,11,145158,7121,53,yes,6,2019,senior,1,0,0,0,0,0,1,0
145,employee_145,39,male,uk,delhi,marketing,11,88760,19660,39,yes,7,2018,senior,0,0,0,1,0,0,1,0
146,employee_146,49,male,canada,toronto,it,25,60337,13198,38,no,6,2017,senior,0,0,1,0,1,0,0,1
147,employee_147,30,female,uk,ny,marketing,4,31468,5439,42,yes,5,2011,mid,0,0,1,0,0,1,0,0
148,employee_148,47,male,india,delhi,it,15,54309,18487,32,no,5,2024,senior,0,0,1,0,1,0,0,0
149,employee_149,44,male,uk,toronto,hr,0,96344,8520,56,no,9,2015,junior,0,0,0,0,0,0,0,0
150,employee_150,58,female,uk,london,marketing,27,120283,6409,47,yes,8,2000,senior,0,0,0,0,0,0,0,1
151,employee_151,52,male,usa,ny,marketing,8,102255,10670,49,no,4,2015,senior,0,0,0,0,1,0,0,1
152,employee_152,20,female,uk,ny,it,11,111899,13106,31,no,4,2001,senior,0,0,0,1,0,0,0,0
153,employee_153,46,male,usa,london,marketing,4,58718,12934,46,yes,5,2023,mid,0,0,0,0,1,0,1,0
154,employee_154,32,female,pakistan,london,finance,21,124337,8869,57,yes,3,2014,senior,1,0,0,0,1,0,0,0
155,employee_155,22,male,usa,ny,hr,19,138895,3956,48,yes,8,2006,senior,0,0,0,0,0,1,0,1
156,employee_156,58,male,india,london,hr,21,67841,11766,52,yes,7,2000,senior,0,0,0,0,0,1,1,0
157,employee_157,25,female,usa,la,marketing,27,103548,11086,42,yes,5,2004,senior,0,0,0,0,1,0,1,0
158,employee_158,27,male,pakistan,toronto,marketing,23,113565,11435,42,yes,3,2009,senior,0,0,0,0,1,0,0,1
159,employee_159,46,female,india,toronto,finance,2,76660,17412,30,no,5,2021,junior,0,0,1,0,0,0,1,0
160,employee_160,28,male,canada,toronto,finance,4,136553,11255,31,yes,3,2020,mid,0,0,0,0,0,1,0,0
161,employee_161,56,female,canada,la,marketing,1,80281,10638,30,yes,5,2003,junior,1,0,0,0,0,1,0,1
162,employee_162,52,female,usa,london,marketing,13,143451,8756,53,no,1,2013,senior,1,0,0,0,0,0,0,1
163,employee_163,43,female,usa,delhi,finance,1,146041,12856,34,no,6,2012,junior,1,0,0,1,0,0,0,1
164,employee_164,34,female,pakistan,london,it,12,30767,16764,53,yes,4,2000,senior,0,1,0,0,0,1,0,1
165,employee_165,51,male,pakistan,ny,finance,6,33895,4602,32,yes,4,2015,mid,0,0,1,0,0,1,1,0
166,employee_166,51,male,uk,karachi,it,9,88026,6062,58,no,8,2022,senior,0,0,0,1,0,0,0,1
167,employee_167,43,female,pakistan,toronto,hr,12,148142,12877,57,yes,2,2008,senior,0,1,0,0,0,1,0,1
168,employee_168,31,female,uk,london,hr,15,72968,8244,36,yes,4,2021,senior,0,0,0,0,0,1,1,0
169,employee_169,58,female,india,delhi,finance,25,70097,7372,53,no,2,2015,senior,0,1,0,1,0,0,0,1
170,employee_170,21,male,usa,ny,it,13,45332,8105,51,yes,1,2018,senior,0,1,0,1,0,0,1,0
171,employee_171,22,male,india,la,finance,10,44621,13229,42,no,3,2014,senior,1,0,0,0,1,0,1,0
172,employee_172,56,male,pakistan,la,finance,9,106870,17956,58,yes,8,2013,senior,1,0,0,0,0,0,0,1
173,employee_173,36,male,india,delhi,it,5,48174,8705,52,no,6,2019,mid,0,1,0,0,0,0,0,0
174,employee_174,21,female,india,ny,finance,3,129189,14894,59,no,7,2009,mid,1,0,0,1,0,0,0,1
175,employee_175,21,female,india,toronto,hr,20,70502,13280,57,no,2,2020,senior,0,1,0,1,0,0,0,0
176,employee_176,47,female,pakistan,london,marketing,0,66674,1614,47,yes,6,2011,junior,0,0,1,0,0,1,1,0
177,employee_177,42,male,india,ny,marketing,6,67260,5050,53,no,8,2000,mid,1,0,0,0,1,0,0,0
178,employee_178,56,male,uk,la,finance,23,72498,17709,50,yes,8,2020,senior,1,0,0,0,1,0,0,1
179,employee_179,51,male,pakistan,delhi,it,8,97609,16722,36,no,4,2016,senior,1,0,0,1,0,0,0,1
180,employee_180,52,female,india,delhi,it,7,79464,16210,30,no,6,2008,mid,0,0,1,0,0,1,0,0
181,employee_181,20,female,pakistan,london,hr,4,101805,17742,34,no,5,2022,mid,0,1,0,0,0,1,0,1
182,employee_182,38,male,canada,delhi,it,18,94919,4777,46,yes,9,2018,senior,0,0,0,0,0,0,0,0
183,employee_183,21,female,uk,delhi,it,9,84469,6906,57,yes,8,2024,senior,1,0,0,0,0,0,1,0
184,employee_184,45,male,india,ny,hr,10,47194,2721,58,no,2,2017,senior,0,1,0,0,0,1,0,0
185,employee_185,51,male,canada,toronto,finance,24,56811,18733,37,yes,7,2006,senior,0,0,1,0,0,0,0,0
186,employee_186,25,female,canada,london,marketing,14,102377,4896,44,yes,7,2008,senior,0,0,0,1,0,0,0,0
187,employee_187,51,male,pakistan,ny,hr,5,73723,7941,49,yes,1,2021,mid,1,0,0,0,0,1,0,0
188,employee_188,23,female,canada,toronto,finance,14,130336,14464,33,no,1,2020,senior,0,0,1,0,0,0,1,0
189,employee_189,30,male,uk,ny,hr,4,105235,6246,31,yes,4,2011,mid,0,0,1,0,1,0,1,0
190,employee_190,36,female,uk,karachi,finance,28,141041,9384,34,no,5,2006,senior,0,0,0,0,0,1,1,0
191,employee_191,57,female,usa,ny,hr,18,106298,19961,30,no,4,2013,senior,0,1,0,0,0,1,0,0
192,employee_192,43,female,uk,delhi,finance,21,89238,16369,54,no,7,2014,senior,1,0,0,0,1,0,1,0
193,employee_193,24,male,canada,toronto,hr,18,135433,17475,34,yes,3,2014,senior,1,0,0,1,0,0,0,1
194,employee_194,53,male,uk,london,finance,9,147393,14644,35,no,7,2005,senior,0,1,0,0,1,0,1,0
195,employee_195,25,female,pakistan,london,hr,11,137092,12108,31,yes,8,2020,senior,0,1,0,0,0,1,0,0
196,employee_196,41,female,usa,toronto,marketing,21,32147,9128,55,yes,6,2013,senior,0,1,0,1,0,0,0,1
197,employee_197,30,male,canada,delhi,marketing,3,128919,18459,55,no,6,2001,mid,0,0,0,0,0,0,0,0
198,employee_198,35,male,usa,la,it,17,129251,19897,30,no,8,2007,senior,0,0,0,0,0,0,0,1
199,employee_199,52,male,canada,ny,finance,15,68445,9168,33,no,8,2012,senior,1,0,0,0,0,0,0,0
200,employee_200,28,female,pakistan,delhi,hr,7,83803,7861,36,yes,7,2022,mid,0,0,0,0,0,1,0,0
201,employee_201,25,male,usa,karachi,finance,3,91108,9990,51,yes,6,2005,mid,0,0,1,0,1,0,0,1
202,employee_202,35,male,india,toronto,marketing,24,136170,14750,55,no,6,2004,senior,1,0,0,1,0,0,1,0
203,employee_203,48,female,canada,ny,finance,22,32013,17988,30,no,6,2004,senior,0,0,0,0,0,0,0,1
204,employee_204,22,male,india,london,hr,11,115617,3979,30,yes,8,2024,senior,0,1,0,1,0,0,0,1
205,employee_205,39,male,usa,la,finance,1,112410,8065,37,yes,1,2000,junior,0,0,1,0,0,1,0,1
206,employee_206,55,male,india,karachi,hr,3,83502,5916,49,no,5,2008,mid,0,1,0,0,0,0,0,1
207,employee_207,38,female,india,london,marketing,4,147116,1597,45,yes,3,2005,mid,1,0,0,0,0,1,0,1
208,employee_208,45,female,usa,toronto,marketing,2,67755,6622,50,yes,8,2019,junior,0,1,0,0,1,0,0,0
209,employee_209,22,female,pakistan,ny,marketing,8,38733,19261,42,yes,6,2006,senior,0,0,0,0,0,1,0,0
210,employee_210,38,female,india,toronto,it,28,39479,13164,52,yes,2,2008,senior,0,0,0,0,0,1,1,0
211,employee_211,39,female,india,ny,marketing,20,105361,2699,53,yes,7,2004,senior,1,0,0,0,1,0,1,0
212,employee_212,51,female,pakistan,delhi,finance,17,51304,18100,55,yes,7,2013,senior,0,1,0,1,0,0,0,1
213,employee_213,26,female,india,la,it,10,65694,14429,52,no,5,2004,senior,1,0,0,0,1,0,1,0
214,employee_214,52,male,india,delhi,marketing,2,135586,14796,47,yes,8,2007,junior,0,1,0,0,1,0,1,0
215,employee_215,59,male,india,delhi,finance,29,111171,5086,59,no,5,2006,senior,0,0,1,0,0,1,0,1
216,employee_216,58,female,uk,toronto,finance,24,144151,1665,49,no,1,2012,senior,0,0,0,1,0,0,0,0
217,employee_217,37,male,pakistan,la,finance,22,116296,15605,39,yes,9,2012,senior,1,0,0,0,0,0,0,0
218,employee_218,59,male,india,ny,hr,1,39490,18463,41,no,4,2007,junior,0,0,1,0,1,0,1,0
219,employee_219,20,female,pakistan,ny,it,8,51252,9419,30,no,2,2010,senior,0,0,1,1,0,0,0,0
220,employee_220,30,male,canada,karachi,finance,13,135290,16184,39,no,4,2017,senior,1,0,0,0,1,0,0,0
221,employee_221,47,male,canada,london,hr,3,36862,2069,38,yes,9,2024,mid,1,0,0,0,1,0,1,0
222,employee_222,44,male,india,karachi,marketing,28,140463,6263,32,no,2,2018,senior,0,0,1,0,1,0,0,1
223,employee_223,42,male,pakistan,karachi,finance,8,99959,17109,57,yes,4,2005,senior,0,1,0,0,1,0,1,0
224,employee_224,50,male,pakistan,ny,hr,12,40450,8951,48,no,2,2021,senior,0,0,1,0,0,1,1,0
225,employee_225,49,female,pakistan,toronto,finance,17,86022,13919,55,no,5,2001,senior,1,0,0,1,0,0,1,0
226,employee_226,54,female,uk,delhi,it,14,91991,2363,38,no,3,2012,senior,0,0,1,1,0,0,0,1
227,employee_227,26,female,canada,delhi,it,27,70927,5508,39,no,2,2022,senior,0,1,0,1,0,0,0,1
228,employee_228,35,male,pakistan,delhi,marketing,9,130377,2755,48,yes,9,2024,senior,0,0,0,0,1,0,0,1
229,employee_229,45,female,pakistan,la,finance,15,118090,1519,45,no,5,2010,senior,0,0,0,0,0,1,0,1
230,employee_230,21,male,uk,ny,hr,11,79853,12736,53,no,5,2000,senior,0,0,1,0,1,0,1,0
231,employee_231,20,male,uk,toronto,marketing,19,61826,11514,47,yes,1,2023,senior,0,1,0,0,1,0,0,0
232,employee_232,31,male,pakistan,la,finance,4,72879,15688,43,yes,6,2001,mid,0,0,0,1,0,0,1,0
233,employee_233,24,male,usa,london,marketing,1,87265,8233,58,yes,7,2016,junior,0,0,1,0,1,0,0,1
234,employee_234,56,female,pakistan,toronto,hr,9,102361,2102,32,no,1,2007,senior,0,0,1,0,0,0,0,0
235,employee_235,51,female,pakistan,karachi,marketing,0,138956,1597,31,yes,9,2001,junior,0,1,0,0,1,0,1,0
236,employee_236,28,male,uk,toronto,marketing,6,107990,14947,30,yes,8,2005,mid,1,0,0,0,0,0,0,0
237,employee_237,54,female,uk,toronto,marketing,25,119787,13241,47,yes,8,2021,senior,0,0,1,0,1,0,0,1
238,employee_238,38,male,pakistan,delhi,finance,16,116184,6781,53,yes,7,2004,senior,1,0,0,0,0,1,0,0
239,employee_239,35,female,pakistan,toronto,hr,15,70736,11797,38,yes,5,2015,senior,1,0,0,0,0,1,0,0
240,employee_240,22,female,pakistan,karachi,it,26,54530,7256,42,yes,3,2007,senior,0,0,0,1,0,0,0,1
241,employee_241,39,male,uk,karachi,finance,26,108052,11380,31,no,9,2018,senior,1,0,0,0,1,0,0,0
242,employee_242,43,female,pakistan,ny,it,23,77058,9780,36,yes,7,2015,senior,0,1,0,0,0,0,1,0
